Year,Tree Cover Loss
2001,55678.554555
2002,67890.056144
2003,59683.333686
2004,81880.742585
2005,75216.739407
2006,73285.217161
2007,76264.040784
2008,76944.465042
2009,70811.970339
2010,76627.082627
2011,72761.428496
2012,97641.809322
2013,85847.077331
2014,98309.194386
2015,81206.120233
2016,123685.635593
2017,123210.790254
2018,103467.992585
2019,101257.651483
2020,109350.889831
2021,105457.489936

