year,value
1990,23060.38
1991,23217.45
1992,23167.98
1993,23311.16
1994,23457.62
1995,24086.41
1996,24434.73
1997,25546.76
1998,25154.68
1999,25227.59
2000,25923.86
2001,26010.78
2002,26731.15
2003,27602.5
2004,29073.03
2005,29908.23
2006,31139.35
2007,31825.92
2008,32031.28
2009,31953.27
2010,33521.99
2011,33429.63
2012,33816.18
2013,34469.49
2014,34856.42
2015,34686.31
2016,35383.27
2017,35877.65
2018,36865.29
2019,37046.27
2020,34819.59
2021,36693.41
