year,value
1990,2369.51
1991,2336.16
1992,2343.77
1993,2328.6
1994,2418.41
1995,2470.91
1996,2474.01
1997,2462.61
1998,2492.12
1999,2479.4
2000,2472.06
2001,2508.1
2002,2565.05
2003,2605.09
2004,2688.31
2005,2702.93
2006,2730.7
2007,2802.12
2008,2765.26
2009,2765.68
2010,2855.38
2011,2919.48
2012,2941.26
2013,2915.15
2014,2963.13
2015,2991.77
2016,3015.18
2017,3079.14
2018,3060.15
2019,3069.33
2020,3103.5
2021,3120.95
