Year,Value
1990,32735.02
1991,32880.80
1992,32787.52
1993,32924.03
1994,33191.77
1995,33982.29
1996,34372.44
1997,35739.15
1998,35278.92
1999,35281.42
2000,36011.60
2001,36091.22
2002,37029.87
2003,38018.30
2004,39853.62
2005,40790.65
2006,42265.06
2007,43050.98
2008,43295.95
2009,43259.02
2010,45069.96
2011,45247.67
2012,45781.16
2013,46430.94
2014,47070.12
2015,46993.49
2016,47668.47
2017,48341.29
2018,49482.10
2019,49843.57
2020,47463.17
2021,49553.48
